,Actual,Predicted
3270,13.5,12.602458422512427
3271,11.5,10.074018721300632
3272,11.3,10.363241455036473
3273,11.2,11.228111584285898
3274,12.0,12.77117988939304
3275,13.5,13.921028011967792
3276,14.0,14.751507769994191
3277,15.2,13.311902568002296
3278,7.8,11.910676341500675
3279,15.7,11.362473417164551
3280,15.4,14.180286260677661
3281,13.4,9.802116789710311
3282,10.0,8.398997482094813
3283,13.4,10.539509360847887
3284,13.4,11.991956392307259
3285,14.3,12.262473537724475
3286,13.6,13.283309353294158
3287,15.2,13.20585824509567
3288,14.6,14.549923446438157
3289,12.1,12.085840336160459
3290,12.0,12.784752993033777
3291,14.6,13.495120444869514
3292,17.2,15.361992464945644
3293,15.8,14.12389561915191
3294,15.4,10.462132537192844
3295,10.0,10.520267982124324
3296,12.6,13.14199684054887
3297,14.0,13.341948913768846
3298,14.9,12.076216939748377
3299,13.0,12.179102447705674
3300,15.0,12.122019713893252
3301,13.0,12.27074827171674
3302,14.1,12.192345133278423
3303,14.6,12.835862707798213
3304,15.0,13.590948500588553
3305,15.4,13.127536949719001
3306,13.4,11.678114800918479
3307,11.2,10.740798157901423
3308,12.1,8.240495671445728
3309,11.0,7.543506086187705
3310,11.0,10.509572756653029
3311,9.0,9.082397823195521
3312,9.5,9.53895049161855
3313,9.3,8.740811153782772
3314,8.0,8.492780294721541
3315,6.5,7.7331498797079234
3316,3.3,5.656944739868777
3317,7.0,9.563577268762174
3318,8.0,11.315019260931535
3319,10.4,12.806954308171811
3320,11.3,13.534549375602666
3321,12.5,12.71748996674404
3322,15.1,13.794765379522119
3323,15.1,14.76583359881542
3324,16.8,15.974584805641342
3325,17.0,14.877447205160422
3326,18.0,14.999383147197676
3327,19.4,16.07563590194863
3328,19.1,15.581438942132763
3329,19.8,14.247437309256668
3330,17.8,12.384605882456441
3331,14.8,11.936350430652766
3332,13.0,10.968121757460608
3333,10.2,8.734307429352128
3334,10.2,11.701808463639281
3335,11.4,13.669289380398538
3336,13.0,13.639891598567942
3337,15.0,13.80631223234289
3338,13.1,12.914880442702895
3339,11.0,6.618047594515673
3340,2.0,6.128526241453812
3341,3.1,5.558529312183964
3342,3.1,6.330609304859195
3343,4.5,8.670059519055513
3344,7.5,12.445754559981765
3345,9.3,13.363168190447652
3346,11.3,14.000806384330076
3347,9.1,13.764464879151717
3348,10.0,14.635329808434989
3349,14.8,16.220144043012652
3350,16.0,18.184530810772813
3351,16.2,16.028130609923977
3352,15.1,14.080629065422414
3353,15.5,15.749782755138341
3354,14.4,14.554298260671771
3355,14.5,13.441529898585458
3356,16.2,14.814058009650182
3357,19.0,17.446711187193543
3358,18.7,16.865685716771964
3359,19.9,17.003721911377994
3360,20.0,17.001574185560628
3361,21.0,17.013038955740626
3362,17.3,17.633230088515617
3363,15.8,19.40609079491901
3364,17.5,16.692854663624672
3365,19.2,19.27107865414463
3366,19.2,20.336998597168332
3367,21.4,19.032490436378154
3368,20.2,20.07903286575545
3369,16.0,17.827433148667538
3370,17.5,18.192361969403606
3371,17.0,16.755299872087676
3372,18.0,18.504077171530014
3373,20.0,20.80937396928455
3374,21.0,19.856139873947015
3375,21.0,18.374519952273502
3376,19.2,18.74431169049086
3377,22.2,19.38105622149743
3378,25.0,22.11673367077735
3379,26.6,23.14015154640819
3380,26.7,24.06365557808853
3381,27.0,23.173654945958887
3382,26.9,23.295005069637185
3383,27.0,21.39547773100618
3384,27.0,20.907668768711716
3385,21.0,22.43303745224425
3386,29.0,18.406034779735933
3387,18.2,18.687573223035244
3388,20.2,22.030344438893252
3389,22.5,23.678676321343588
3390,22.5,23.457867346583853
3391,24.4,23.491007914663058
3392,26.1,24.219489887234104
3393,28.5,26.282479446449983
3394,28.0,27.25406289868623
3395,27.2,28.621671173885375
3396,26.5,27.160991485872287
3397,17.8,23.372258801497168
3398,22.3,21.427999087675815
3399,24.0,22.905634878470295
3400,26.0,25.42882535550453
3401,25.3,25.08617065319102
3402,27.0,25.742187434064476
3403,27.7,27.125522333728938
3404,27.5,28.016260634017428
3405,26.0,28.538554556661367
3406,23.8,25.061155766541788
3407,23.0,25.625809278496263
3408,23.2,27.857244159332026
3409,25.6,27.95300610695341
3410,21.4,30.11572705329185
3411,22.7,28.720854147426707
3412,23.0,28.46813917842816
3413,22.6,26.55689667428321
3414,24.0,25.530321648629382
