Actual,Predicted
15.5,15.798565379678479
14.4,14.563677324804075
14.5,13.435141734917693
16.2,14.847359124130747
19.0,17.403137000284005
18.7,16.829079801415247
19.9,16.919607699710696
20.0,16.989252802684177
21.0,17.11981792027447
17.3,17.543955340181014
15.8,19.44755830656527
17.5,16.61037907926709
19.2,19.259117651772556
19.2,20.330068539840696
21.4,19.10090655550826
20.2,20.14411232797646
16.0,17.83145069480645
17.5,18.16203319974187
17.0,16.757553402805456
18.0,18.536580924295833
20.0,20.808272390848856
21.0,19.830524563086428
21.0,18.390534491003564
19.2,18.7936471659617
22.2,19.40088969544557
25.0,22.149850054760236
26.6,23.13404410349797
26.7,24.09473320619864
27.0,23.223280479646974
26.9,23.311084820705005
27.0,21.397573109855827
27.0,21.000313785772732
21.0,22.62813246068906
29.0,18.35976044772623
18.2,18.742476173182524
20.2,22.04917945248299
22.5,23.664404413934292
22.5,23.423757564066705
24.4,23.527960522925866
26.1,24.21410614035328
28.5,26.251733219465436
28.0,27.250565259765438
27.2,28.585992381595403
26.5,27.188266205896525
17.8,23.335589156627847
22.3,21.526418998651494
24.0,23.006685417540126
26.0,25.458715747345593
25.3,25.045733412716046
27.0,25.752011539870395
27.7,27.15666740112667
27.5,28.00461485472688
26.0,28.531758333165143
23.8,24.926454665946096
23.0,25.513677477704235
23.2,27.910915988515328
25.6,27.885226773320525
21.4,30.052743830396892
22.7,28.68895400645829
23.0,28.539522448172733
22.6,26.60730223516724
24.0,25.618451722600895
27.4,29.300953321990818
30.4,32.699283644127235
26.4,30.81582302180955
28.2,33.26154182665445
28.5,27.87746557987498
28.8,27.462297855142438
26.3,28.991961935504378
26.3,26.055677751481667
25.6,27.64404749751168
27.5,28.975526920777384
28.5,27.609474421564485
28.2,28.746825923410896
27.3,29.78979767847396
29.0,30.60569212595891
30.3,30.96235931076913
30.2,32.099042182153525
33.2,32.72029317506761
34.0,32.18040456124349
33.8,32.15912514583424
34.4,31.92257175346724
36.5,34.12648983286614
37.2,35.98103160994309
36.3,34.76872033771767
33.3,31.572139726852896
32.2,30.82267418804284
31.9,30.735861976523893
